id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C001687,青森ロイヤルゴルフクラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C001691,東奥カントリークラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C001689,津軽カントリークラブ　百沢コース,,2,,,,,,,,,,,,,,,,,,,,,,
C001694,八戸カントリークラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C001696,びわの平ゴルフ倶楽部,,2,,,,,,,,,,,,,,,,,,,,,,
C001686,青森カントリー倶楽部,,2,,,,,,,,,,,,,,,,,,,,,,
C000229,(財)青森県体育協会ゴルフ場（閉鎖）,,2,,,,,,,,,,,,,,,,,,,,,,
C000231,下北スリーハンドレッドゴルフクラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C000228,津軽カントリークラブ 岳コース,,2,,,,,,,,,,,,,,,,,,,,,,
C001692,十和田国際カントリークラブ,,2,,,,,,,,,,,,,,,,,,,,,,
C000230,八戸ゴルフ倶楽部,,2,,,,,,,,,,,,,,,,,,,,,,
C002566,みちのく古都カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002563,雫石ゴルフ場,,3,,,,,,,,,,,,,,,,,,,,,,
C002556,岩手沼宮内カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002553,安比高原ゴルフクラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002559,ニュー軽米カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002558,金ヶ崎ゴルフコース＆ロッジ（閉鎖）,,3,,,,,,,,,,,,,,,,,,,,,,
C002573,湯田高原カントリー倶楽部,,3,,,,,,,,,,,,,,,,,,,,,,
C002560,きたかみカントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002555,岩手ゴルフ倶楽部,,3,,,,,,,,,,,,,,,,,,,,,,
C002554,一関カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002572,盛岡南ゴルフ倶楽部,,3,,,,,,,,,,,,,,,,,,,,,,
C002574,ローズランドカントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002564,南部富士カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002568,宮古カントリークラブ（岩手県）,,3,,,,,,,,,,,,,,,,,,,,,,
C002562,栗駒ゴルフ倶楽部,,3,,,,,,,,,,,,,,,,,,,,,,
C000090,県民ゴルフ場,,3,,,,,,,,,,,,,,,,,,,,,,
C000103,北上市民ゴルフ場,,3,,,,,,,,,,,,,,,,,,,,,,
C002565,八幡平カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002569,メイプルカントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002571,盛岡ハイランドカントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002561,岩手洋野ゴルフクラブ（閉鎖）,,3,,,,,,,,,,,,,,,,,,,,,,
C005368,みどりゴルフ場,,3,,,,,,,,,,,,,,,,,,,,,,
C002557,江刺カントリー倶楽部,,3,,,,,,,,,,,,,,,,,,,,,,
C000097,三陸カントリー倶楽部（閉鎖）,,3,,,,,,,,,,,,,,,,,,,,,,
C000099,水沢リバーサイドゴルフ場,,3,,,,,,,,,,,,,,,,,,,,,,
C002567,南岩手カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002570,盛岡カントリークラブ,,3,,,,,,,,,,,,,,,,,,,,,,
C002865,松島チサンカントリークラブ　松島・仙台コース,,4,,,,,,,,,,,,,,,,,,,,,,
C002859,仙台ヒルズゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002853,仙台南ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C005181,グレースリッジカントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002860,花の杜ゴルフクラブ【アコーディア・ゴルフ】,,4,,,,,,,,,,,,,,,,,,,,,,
C002845,おおさとゴルフ倶楽部【アコーディア・ゴルフ】,,4,,,,,,,,,,,,,,,,,,,,,,
C000267,松島チサンカントリークラブ　大郷コース,,4,,,,,,,,,,,,,,,,,,,,,,
C002869,宮城野ゴルフクラブ【アコーディア・ゴルフ】,,4,,,,,,,,,,,,,,,,,,,,,,
C002851,仙台グリーンゴルフクラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002847,グレート仙台カントリー倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002874,利府ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002842,太白カントリークラブ秋保コース（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C002852,仙台ハイランドカントリークラブ（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C002868,宮城蔵王カントリークラブ　ロイヤルコース,,4,,,,,,,,,,,,,,,,,,,,,,
C002872,やくらいサイズゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002856,富谷パブリックコース,,4,,,,,,,,,,,,,,,,,,,,,,
C002846,表蔵王国際ゴルフクラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002875,仙台クラシックゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002850,仙台空港カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002870,たいわゴルフクラブ（旧：ミヤヒル３６ゴルフクラブ）,,4,,,,,,,,,,,,,,,,,,,,,,
C002873,リゾートパーク　オニコウベゴルフクラブ（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C002866,杜の公園ゴルフクラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002844,泉パークタウンゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002858,西仙台カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002855,富谷カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002848,大崎ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002867,宮城カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002862,古川カントリー倶楽部（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C002864,松島国際カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002863,マグノリアカントリークラブ（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C000116,仙塩ゴルフ倶楽部　浦霞コース,,4,,,,,,,,,,,,,,,,,,,,,,
C002843,泉国際ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C002861,東蔵王ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C000111,気仙沼カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002857,仙台カントリー倶楽部名取コース,,4,,,,,,,,,,,,,,,,,,,,,,
C002854,天明カントリークラブ（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C000125,鳴子カントリークラブ,,4,,,,,,,,,,,,,,,,,,,,,,
C002877,杜の都ゴルフ倶楽部,,4,,,,,,,,,,,,,,,,,,,,,,
C000109,阿武隈ゴルフ場（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C002876,石巻オーシャンカントリー倶楽部（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C000110,角田市民ゴルフ場,,4,,,,,,,,,,,,,,,,,,,,,,
C005378,ＳＴＡＤＩＵＭ　ＧＯＬＦ,,4,,,,,,,,,,,,,,,,,,,,,,
C002849,仙台カントリー倶楽部　青葉コース（閉鎖）,,4,,,,,,,,,,,,,,,,,,,,,,
C003157,秋田森岳温泉３６ゴルフ場,,5,,,,,,,,,,,,,,,,,,,,,,
C005187,新・秋田ウインズカントリークラブ（閉鎖）,,5,,,,,,,,,,,,,,,,,,,,,,
C003163,能代カントリークラブ（閉鎖）,,5,,,,,,,,,,,,,,,,,,,,,,
C003165,南秋田カントリークラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C003168,秋田北空港クラシックゴルフ倶楽部,,5,,,,,,,,,,,,,,,,,,,,,,
C003161,男鹿ゴルフクラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C003160,大野台ゴルフクラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C003158,羽後カントリー倶楽部,,5,,,,,,,,,,,,,,,,,,,,,,
C003159,大館カントリークラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C003167,ロイヤルセンチュリーゴルフ倶楽部,,5,,,,,,,,,,,,,,,,,,,,,,
C003156,秋田椿台カントリークラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C003162,秋田プレステージゴルフ倶楽部（閉鎖）,,5,,,,,,,,,,,,,,,,,,,,,,
C003164,ノースハンプトンゴルフ倶楽部,,5,,,,,,,,,,,,,,,,,,,,,,
C005396,能代カントリークラブ,,5,,,,,,,,,,,,,,,,,,,,,,
C005260,鳥海ゴルフ（閉鎖）,,5,,,,,,,,,,,,,,,,,,,,,,
C003154,秋田カントリー倶楽部,,5,,,,,,,,,,,,,,,,,,,,,,
C003155,秋田太平山カントリークラブ,,5,,,,,,,,,,,,,,,,,,,,,,
