region,course_title,layout_title,course_code,layout_kind,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,ref_url
北海道,太平洋C札幌ﾗｲﾗｯｸ,太平洋クラブ札幌コースらいらっく,C000159,all,5,3,4,4,4,3,4,4,5,,,,,,,,,,
北海道,滝川市民Gｺｽﾓｽ,滝川市民ゴルフ場コスモス,C000163,out+in,4,4,3,5,4,5,4,4,3,5,4,3,3,4,4,4,5,4,
北海道,滝川丸加高原CC,滝川丸加高原カントリークラブ,C000210,out+in,5,4,5,3,4,3,4,4,4,4,4,4,3,4,5,4,3,5,
北海道,滝のCC中,滝のカントリークラブ中,C000165,all,5,3,4,4,5,4,4,3,4,,,,,,,,,,
北海道,滝のCC西,滝のカントリークラブ西,C000166,all,4,4,3,5,4,3,4,5,4,,,,,,,,,,
北海道,滝のCC東,滝のカントリークラブ東,C000164,all,4,4,5,3,4,4,3,5,4,,,,,,,,,,
北海道,伊達CC,伊達カントリー倶楽部,C000171,out+in,4,5,4,3,4,5,4,3,4,5,4,4,3,4,4,4,3,5,
北海道,樽前CC北,樽前カントリークラブ北,C000169,all,5,4,3,4,4,5,4,3,4,,,,,,,,,,
北海道,樽前CC中,樽前カントリークラブ中,C000168,all,4,4,5,4,3,4,4,3,5,,,,,,,,,,
北海道,樽前CC南,樽前カントリークラブ南,C000167,all,5,4,4,3,4,4,4,3,5,,,,,,,,,,
北海道,チサンCC銭函,チサンカントリークラブ銭函,C000172,out+in,4,3,5,4,3,4,4,4,5,4,3,4,5,3,4,5,4,4,
北海道,千歳CCからまつ,千歳カントリークラブからまつコース,C000189,all,4,4,3,5,4,3,5,4,4,,,,,,,,,,
北海道,千歳CCしらかば,千歳カントリークラブしらかばコース,C000188,all,5,4,4,3,4,4,5,3,4,,,,,,,,,,
北海道,ちとせインターGC,ちとせインターゴルフクラブ,C000173,all,4,4,3,5,5,3,4,4,4,,,,,,,,,,
北海道,千歳空港CCｵｼﾄﾞﾘ,千歳空港カントリークラブおしどり,C000176,all,4,3,5,4,5,3,4,4,4,,,,,,,,,,
北海道,千歳空港CCｾｷﾚｲ,千歳空港カントリークラブせきれい,C000175,all,4,3,5,4,4,4,3,4,5,,,,,,,,,,
北海道,千歳空港CCﾊｸﾁｮｳ,千歳空港カントリークラブはくちょう,C000174,all,5,3,4,4,4,3,4,4,5,,,,,,,,,,
北海道,ツキサップGC,ツキサップゴルフクラブ,C000107,out+in,4,5,4,4,3,4,5,3,4,4,4,4,3,5,4,3,4,5,
北海道,弟子屈CC,弟子屈カントリークラブ,C000182,out+in,4,5,4,3,4,4,3,5,4,4,4,4,3,5,4,4,3,5,
北海道,十勝CC,十勝カントリークラブ,C000112,out+in,4,4,3,4,5,4,4,3,5,4,4,3,5,4,4,4,3,5,
北海道,常盤台GC,常盤台ゴルフコース,C000215,all,3,3,3,3,3,3,3,3,3,,,,,,,,,,
北海道,苫小牧GR72ｱｲﾘｽGC,苫小牧ゴルフリゾート72アイリスゴルフクラブ,C000148,out+in,4,3,4,4,5,3,4,4,5,4,3,4,5,4,4,4,3,5,
北海道,苫小牧GRｴﾐﾅGC西,苫小牧ゴルフリゾート72エミナゴルフクラブ西,C000025,out+in,4,4,4,3,5,4,4,3,5,4,3,5,4,5,4,4,3,4,
北海道,苫小牧GRｴﾐﾅGC東,苫小牧ゴルフリゾート72エミナゴルフクラブ東,C000023,out+in,4,4,5,3,4,5,4,3,4,4,4,3,4,5,3,4,4,5,
北海道,苫小牧GRｴﾐﾅGC南,苫小牧ゴルフリゾート72エミナゴルフクラブ南,C000024,out+in,5,4,3,5,4,4,3,4,4,5,4,3,4,4,4,3,5,4,
北海道,豊平川雁来健康P,豊平川雁来健康公園ショートコース,C000200,all,3,3,3,3,3,3,3,3,3,,,,,,,,,,
北海道,名寄白樺CC,名寄白樺カントリー倶楽部,C000116,out+in,5,4,4,4,3,5,3,4,4,4,4,3,5,3,4,4,4,5,
北海道,南幌ﾘﾊﾞｰｻｲﾄﾞG北,南幌リバーサイドゴルフ場北,C000218,all,4,5,4,4,4,3,5,4,3,,,,,,,,,,
北海道,南幌ﾘﾊﾞｰｻｲﾄﾞG西,南幌リバーサイドゴルフ場西,C000217,all,4,5,4,5,4,3,4,4,3,,,,,,,,,,
北海道,南幌ﾘﾊﾞｰｻｲﾄﾞG南,南幌リバーサイドゴルフ場南,C000196,all,4,4,5,4,3,4,5,3,4,,,,,,,,,,
北海道,ニセコG&ﾘｿﾞｰﾄ,ニセコゴルフ＆リゾート,C000117,out+in,4,5,3,4,5,4,4,3,4,4,5,3,4,3,4,4,4,5,
北海道,ニセコGC,ニセコゴルフコース,C000197,out+in,4,3,5,4,3,4,4,4,5,4,5,4,3,4,4,5,3,4,
北海道,ニセコビレッジGC,ニセコビレッジゴルフコース,C000120,out+in,4,5,4,3,4,4,5,3,4,6,4,4,3,4,4,5,3,4,
北海道,ﾆﾄﾞﾑｸﾗｼｯｸCｲｺﾛｱｼﾘ,ニドムクラシックコースイコロアシリ,C000122,all,5,4,4,3,5,4,3,4,4,,,,,,,,,,
北海道,ﾆﾄﾞﾑｸﾗｼｯｸCｲｺﾛｶﾑｲ,ニドムクラシックコースイコロカムイ,C000195,all,5,4,3,4,5,4,3,4,4,,,,,,,,,,
北海道,ﾆﾄﾞﾑｸﾗｼｯｸCｲｺﾛﾋﾟﾘ,ニドムクラシックコースイコロピリカ,C000123,all,5,4,4,4,5,3,4,3,4,,,,,,,,,,
北海道,ﾆﾄﾞﾑｸﾗｼｯｸCﾆｽﾊﾟ,ニドムクラシックコースニスパ,C000121,out+in,5,4,4,3,5,4,4,4,3,4,4,5,3,4,5,4,3,4,
北海道,ニューしのつG,ニューしのつゴルフ場,C000212,out+in,5,4,4,4,3,4,3,4,5,5,4,4,4,3,4,4,3,5,
北海道,根室GC,根室ゴルフクラブ,C000198,all,4,4,3,4,4,4,5,3,5,,,,,,,,,,
北海道,ノースバレーCC,ノースバレーカントリークラブ,C000199,out+in,5,4,3,4,3,4,4,4,5,4,4,3,5,4,4,4,3,5,
北海道,登別CC,登別カントリー倶楽部,C000124,out+in,4,4,3,4,5,4,4,3,5,4,5,4,3,4,3,4,5,4,
北海道,函館GC湯の川,函館ゴルフ倶楽部湯の川ゴルフ場,C000125,all,4,5,3,5,4,4,3,4,4,,,,,,,,,,
北海道,函館パークCC,函館パークカントリークラブ,C000126,out+in,4,5,3,4,5,3,4,4,4,5,4,3,4,4,5,3,4,4,
北海道,函館ベイコースCC,函館ベイコースカントリークラブ,C000010,out+in,4,4,3,5,4,4,4,3,5,4,3,4,4,4,5,3,4,5,
北海道,ﾊｯﾋﾟｰﾊﾞﾚｰGC青山,ハッピーバレーゴルフクラブ札幌青山,C000128,all,5,3,4,4,4,5,4,3,4,,,,,,,,,,
北海道,ﾊｯﾋﾟｰﾊﾞﾚｰGC金沢,ハッピーバレーゴルフクラブ札幌金沢,C000129,all,4,5,4,3,4,4,3,5,4,,,,,,,,,,
北海道,ﾊｯﾋﾟｰﾊﾞﾚｰG伊達山,ハッピーバレーゴルフクラブ札幌伊達山,C000127,all,4,5,4,4,3,5,4,3,4,,,,,,,,,,
北海道,HANAZONO G,HANAZONO GOLF,C000118,out+in,4,3,4,4,5,4,4,3,5,4,3,4,4,5,4,5,3,4,
北海道,早来CCNORTH WING,早来カントリー倶楽部NORTHWING,C000018,out+in,4,3,5,4,4,4,3,5,4,4,4,4,5,3,4,4,3,5,
