id,name,prefecture,areaCodes,holeCount,parOut,parIn,parTotal,parSource,parTeeName,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18
C005206,北海道ロイヤルゴルフ倶楽部あつまコース(閉鎖),,1,0,,,0,,,,,,,,,,,,,,,,,,,,
C000981,メイフラワーゴルフクラブ　札幌（閉鎖）,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000982,紋別カントリークラブ,,1,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C000253,留萌カントリークラブ(閉鎖),,1,9,,,50,,,,,,,,,,,,,,,,,,,,
C001697,みちのく国際ゴルフ倶楽部,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001688,青森スプリング・ゴルフクラブ,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001693,夏泊ゴルフリンクス,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001690,津軽高原ゴルフ場,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001695,十和田湖高原ゴルフクラブ,,2,27,,,90,,,,,,,,,,,,,,,,,,,,
C001687,青森ロイヤルゴルフクラブ,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001691,東奥カントリークラブ,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001689,津軽カントリークラブ　百沢コース,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001694,八戸カントリークラブ,,2,27,,,90,,,,,,,,,,,,,,,,,,,,
C001696,びわの平ゴルフ倶楽部,,2,18,36,36,72,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C001686,青森カントリー倶楽部,,2,27,,,90,,,,,,,,,,,,,,,,,,,,
C000229,(財)青森県体育協会ゴルフ場（閉鎖）,,2,9,,,50,,,,,,,,,,,,,,,,,,,,
